"Date","dtp_gov_USD_EUR_1Y_bp","dtp_gov_USD_EUR_2Y_bp","dtp_gov_USD_EUR_5Y_bp","dtp_gov_USD_EUR_10Y_bp","dtp_gov_USD_EUR_20Y_bp","dtp_gov_USD_JPY_1Y_bp","dtp_gov_USD_JPY_2Y_bp","dtp_gov_USD_JPY_5Y_bp","dtp_gov_USD_JPY_10Y_bp","dtp_gov_USD_JPY_20Y_bp","dtp_gov_USD_GBP_1Y_bp","dtp_gov_USD_GBP_2Y_bp","dtp_gov_USD_GBP_5Y_bp","dtp_gov_USD_GBP_10Y_bp","dtp_gov_USD_GBP_20Y_bp","dtp_gov_USD_CHF_1Y_bp","dtp_gov_USD_CHF_2Y_bp","dtp_gov_USD_CHF_5Y_bp","dtp_gov_USD_CHF_10Y_bp","dtp_gov_USD_CHF_20Y_bp","dtp_gov_USD_CAD_1Y_bp","dtp_gov_USD_CAD_2Y_bp","dtp_gov_USD_CAD_5Y_bp","dtp_gov_USD_CAD_10Y_bp","dtp_gov_USD_CAD_20Y_bp","dtp_gov_USD_AUD_1Y_bp","dtp_gov_USD_AUD_2Y_bp","dtp_gov_USD_AUD_5Y_bp","dtp_gov_USD_AUD_10Y_bp","dtp_gov_USD_AUD_20Y_bp","dtp_gov_USD_NZD_1Y_bp","dtp_gov_USD_NZD_2Y_bp","dtp_gov_USD_NZD_5Y_bp","dtp_gov_USD_NZD_10Y_bp","dtp_gov_USD_NZD_20Y_bp","dtp_gov_USD_SEK_1Y_bp","dtp_gov_USD_SEK_2Y_bp","dtp_gov_USD_SEK_5Y_bp","dtp_gov_USD_SEK_10Y_bp","dtp_gov_USD_SEK_20Y_bp","dtp_gov_USD_NOK_1Y_bp","dtp_gov_USD_NOK_2Y_bp","dtp_gov_USD_NOK_5Y_bp","dtp_gov_USD_NOK_10Y_bp","dtp_gov_USD_NOK_20Y_bp"
"2000-01-31",32.3484,36.7274,41.1469,44.5439,,43.886,43.867,49.622,47.934,83.126,2.8629,-4.0232,-8.7341,-18.9215,,,,56.5375,69.3998,,,,,,,,,,,,23.419,10.28,1.269,5.869,,,,,,,,,,,
"2000-02-29",34.8514,37.4354,44.1549,60.5669,104.4195,49.468,47.164,57.22,61.365,109.803,6.2279,-1.6172,-8.5191,-0.3835,-14.2768,57.6304,36.917,58.6635,86.6278,133.2787,,52.711,69.384,79.201,,,,,,,18.931,4.532,6.439,27.194,,,,,,,,,,,
"2000-03-31",42.8444,41.6344,61.3979,80.2459,110.2225,68.999,59.011,74.666,91.592,124.514,15.7049,4.6098,3.4849,9.4755,11.4702,71.2134,41.514,77.0125,103.9138,130.9497,,60.993,86.885,98.146,,,,,,,,8.261,11.235,31.145,,,,,,,,,,,
"2000-04-28",54.7014,34.4634,52.7839,74.1359,98.0835,76.111,51.001,71.095,84.009,102.301,22.2009,-0.9572,-3.0581,4.1445,-17.7768,94.0954,36.902,62.5155,93.0328,118.3597,,45.366,74.276,85.364,,,,,,,37.367,0.567,1.714,18.101,,,,,,,,,,,
"2000-05-31",87.2154,48.6694,47.5709,72.1319,101.4275,111.522,77.629,89.671,108.383,126.674,56.9669,27.6378,15.8089,17.7895,-0.1338,126.3834,51.868,75.1375,103.7358,137.3607,,75.039,98.293,107.32,121.101,,,,,,76.093,37.755,34.921,54.208,,,,,,,,,,,
"2000-06-30",76.6744,44.2214,46.0749,57.2599,71.9255,101.431,75.733,87.954,90.561,93.95,49.0199,22.9718,6.2019,-2.2735,-23.4238,127.2594,54.834,73.9455,89.6388,116.6077,,72.243,93.363,94.537,,,,,,,58.221,26.206,24.189,24.808,,,,,,,,,,,
"2000-07-31",69.1514,42.1904,50.0579,56.4259,80.5195,95.578,76.194,88.647,86.753,104.169,39.8569,22.3988,15.0299,4.1155,-9.3808,94.2444,50.476,79.1575,95.2088,121.6567,,73.448,93.285,92.946,105.433,,,,,,,32.653,33.539,43.596,,,,,,,,,,,
"2000-08-31",43.6304,37.1934,46.0289,61.9119,68.9105,79.946,72.22,83.868,87.475,86.739,20.6959,16.9628,18.1509,16.0515,-15.1138,76.4294,42.614,80.0955,103.0658,118.7567,,66.406,82.292,93.683,101.507,51.972,56.102,64.88,92.521,105.405,38.931,40.422,50.572,66.196,,,,,,,,,,,
"2000-09-29",46.381,37.4624,35.9849,45.3709,58.1525,76.846,76.221,81.416,78.81,80.862,19.6929,17.2528,15.8089,3.2495,-24.8048,81.1714,49.531,76.2795,90.4228,98.9097,,61.795,75.171,79.865,82.48,46.034,46.2,59.242,71.046,81.66,47.138,40.567,47.142,52.056,,,,,,,,,,,
"2000-10-31",33.871,34.9644,38.9459,43.4089,59.5455,59.203,67.561,81.673,79.987,80.432,9.8659,13.5278,17.2669,10.6635,-8.2008,72.4254,51.018,80.5985,89.0608,102.9207,,63.773,77.644,79.572,90.422,36.894,42.744,59.078,72.629,84.085,,33.386,36.246,40.601,,,,,,,,,,,
