"Date","ndr_USD_EUR_1Y_bp","ndr_USD_EUR_2Y_bp","ndr_USD_EUR_5Y_bp","ndr_USD_EUR_10Y_bp","ndr_USD_EUR_20Y_bp","ndr_USD_JPY_1Y_bp","ndr_USD_JPY_2Y_bp","ndr_USD_JPY_5Y_bp","ndr_USD_JPY_10Y_bp","ndr_USD_JPY_20Y_bp","ndr_USD_GBP_1Y_bp","ndr_USD_GBP_2Y_bp","ndr_USD_GBP_5Y_bp","ndr_USD_GBP_10Y_bp","ndr_USD_GBP_20Y_bp","ndr_USD_CHF_1Y_bp","ndr_USD_CHF_2Y_bp","ndr_USD_CHF_5Y_bp","ndr_USD_CHF_10Y_bp","ndr_USD_CHF_20Y_bp","ndr_USD_CAD_1Y_bp","ndr_USD_CAD_2Y_bp","ndr_USD_CAD_5Y_bp","ndr_USD_CAD_10Y_bp","ndr_USD_CAD_20Y_bp","ndr_USD_AUD_1Y_bp","ndr_USD_AUD_2Y_bp","ndr_USD_AUD_5Y_bp","ndr_USD_AUD_10Y_bp","ndr_USD_AUD_20Y_bp","ndr_USD_NZD_1Y_bp","ndr_USD_NZD_2Y_bp","ndr_USD_NZD_5Y_bp","ndr_USD_NZD_10Y_bp","ndr_USD_NZD_20Y_bp","ndr_USD_SEK_1Y_bp","ndr_USD_SEK_2Y_bp","ndr_USD_SEK_5Y_bp","ndr_USD_SEK_10Y_bp","ndr_USD_SEK_20Y_bp","ndr_USD_NOK_1Y_bp","ndr_USD_NOK_2Y_bp","ndr_USD_NOK_5Y_bp","ndr_USD_NOK_10Y_bp","ndr_USD_NOK_20Y_bp"
"2000-01-31",-260.6944,-250.8874,-197.5489,-152.3949,,-647.875,-658.155,-603.995,-528.015,-481.3,7.5311,-3.4208,-28.4349,-86.8645,,,,-393.5565,-351.7968,,,,,,,,,,,,4.5,30.1,69.9,79,,,,,,,,,,,
"2000-02-29",-252.6944,-237.6124,-191.5739,-146.1449,-135.0275,-651.5,-654.5,-587,-502.675,-464.7,-0.5939,-14.7308,-46.0849,-107.6145,-146.0192,-366.4164,-358.5,-367.9565,-335.2968,-312.2967,,-101.5,-103.5,-109.5,,,,,,,27.5,44,46.5,47,,,,,,,,,,,
"2000-03-31",-255.3944,-246.4874,-198.8489,-151.9199,-138.3275,-662,-651.625,-571.612,-496.575,-467.62,-11.4689,-18.0208,-40.6349,-97.4395,-142.6192,-346.1664,-332.25,-321.6315,-282.1218,-260.8967,,-114.5,-105.8,-104.2,,,,,,,,42.5,62.2,64.8,,,,,,,,,,,
"2000-04-28",-247.7444,-240.4124,-195.7739,-158.2199,-135.0275,-679.125,-671.05,-594.45,-511.025,-464.4,-39.4689,-53.8208,-70.9099,-113.3895,-132.6942,-345.0414,-325.8,-323.6565,-297.4468,-267.2467,,-98.8,-91.45,-87.15,,,,,,,12.5,29.2,53.55,65.35,,,,,,,,,,,
"2000-05-31",-246.2944,-221.9874,-195.1989,-177.2449,-165.1275,-722.25,-698,-625.25,-546.85,-502.3,-79.2189,-74.7708,-93.8349,-136.7145,-154.5892,-370.6664,-332.25,-329.4565,-306.3968,-283.6467,,-121.75,-128,-129.6,-125.6,,,,,,-7.5,9.55,19,17.6,,,,,,,,,,,
"2000-06-30",-204.4944,-188.7374,-161.2489,-137.5449,-121.1775,-672.625,-652.625,-581.05,-502.9,-455.1,-61.3439,-60.7708,-61.7599,-93.7645,-113.9192,-346.7914,-311.625,-308.0065,-286.4468,-266.4467,,-112,-111.8,-109.9,,,,,,,13.5,21,38.7,49.1,,,,,,,,,,,
"2000-07-31",-182.0944,-164.0874,-150.4489,-138.7949,-124.6525,-675.25,-656.35,-586.25,-507.1,-446.55,-51.4689,-50.3708,-59.9599,-94.4645,-112.3692,-303.4164,-293.1,-305.4565,-295.8968,-274.8967,,-98.6,-100.5,-104.6,-95.05,,,,,,,19.15,27.75,32.9,,,,,,,,,,,
"2000-08-31",-152.7944,-136.3874,-119.9489,-106.4449,-99.1275,-646.125,-616.525,-541.65,-458.45,-403.45,-32.4689,-30.5458,-36.4849,-65.1895,-85.0192,-300.4164,-287.65,-297.1065,-282.7468,-266.0467,,-98.4,-99.15,-95.95,-88.45,-28,-31.4,-28.4,-37.45,-37.95,16.5,27.1,33.6,37.3,,,,,,,,,,,
"2000-09-29",-151.25,-135.4874,-115.9989,-104.9949,-98.8775,-629,-604.5,-537.55,-464.6,-409.3,-40.2189,-33.2708,-40.1349,-74.0895,-95.2442,-308.1664,-286.5,-287.7565,-275.1468,-261.6467,,-90.5,-83.3,-85.6,-82.8,-24.5,-21.25,-24.3,-31.1,-37.05,15,36.5,41.7,40.9,,,,,,,,,,,
"2000-10-31",-135,-122.7124,-113.0489,-98.8449,-86.7275,-619.75,-598.85,-541.5,-462.2,-395,-38.5939,-29.1208,-41.3349,-80.6895,-112.5692,-306.9164,-284.475,-289.9565,-273.2468,-258.8467,,-74.85,-70,-72.7,-78.8,-33,-25.85,-27,-27.95,-25,,34.65,46.5,51.8,,,,,,,,,,,
"2000-11-30",-137,-127.9374,-116.2239,-98.3699,-83.3525,-599.25,-586.2,-540.15,-469.9,-411.15,-41.4689,-43.9708,-56.9849,-99.3895,-130.7192,-282.4164,-275.95,-280.8565,-266.9468,-254.7467,,-72.7,-77.4,-81.9,-72.2,-43,-40.2,-39.4,-43.65,-48.4,35.5,46.8,44.45,38.1,,,,,,,,,,,
"2000-12-29",-119.5,-111.4374,-91.0739,-58.3199,-42.0775,-547.75,-532.075,-490.5,-420.05,-362.75,-13.9689,-9.9708,-8.8349,-44.5395,-76.0692,-260.1664,-248.45,-254.4565,-234.8468,-219.8467,,-51.7,-46.75,-38.3,-39.75,-35,-30.2,-23.5,-17.05,-30,67,73.95,68,66.15,,,,,,,,,,,
"2001-01-31",-54.5,-55.9124,-63.7239,-52.3699,-41.9275,-471.5,-471.55,-458.65,-409.8,-368.55,40.5311,43.4292,17.2651,-35.7895,-72.6192,-188.6664,-190.55,-230.1065,-224.8468,-213.8967,,-26.05,-28.65,-20.55,-15.35,-2.5,-3.3,-24.4,-22.3,-33.3,85,80.65,78.6,76.95,,,,,,,,,,,
